Ticker,Year,Total Liabilities,Total Equity,Long-Term Debt,Net Income,Operating Income,Profit Margin,Total Revenue,Debt_to_Equity,Debt_to_Revenue,Debt_Group
ABC,2016,31526796000.0,2129404000.0,3870244000.0,1427929000.0,1525774000.0,1.0,146849686000.0,14.80545542320762,0.02635513977197064,High Debt
ABBV,2014,25771000000.0,1742000000.0,10538000000.0,1774000000.0,3411000000.0,9.0,19960000000.0,14.793915040183697,0.5279559118236473,High Debt
UPS,2015,35841000000.0,2470000000.0,11316000000.0,4844000000.0,7668000000.0,8.0,58363000000.0,14.510526315789473,0.19388996453232357,High Debt
ADS,2013,12388496000.0,855761000.0,6002708000.0,496170000.0,1098912000.0,11.0,4319063000.0,14.476583999504534,1.389817189515411,High Debt
UAL,2014,34199000000.0,2396000000.0,10524000000.0,1132000000.0,2373000000.0,3.0,38901000000.0,14.273372287145243,0.2705328911853166,High Debt
CLX,2016,4221000000.0,297000000.0,1797000000.0,648000000.0,1064000000.0,11.0,5761000000.0,14.212121212121213,0.31192501301857317,High Debt
BA,2015,88073000000.0,6335000000.0,8730000000.0,5176000000.0,7443000000.0,5.0,96114000000.0,13.9026045777427,0.09082963980273426,High Debt
VZ,2015,228212000000.0,16428000000.0,103705000000.0,17879000000.0,33060000000.0,14.0,131620000000.0,13.891648405161918,0.7879121714025225,High Debt
AMP,2012,125637000000.0,9092000000.0,2904000000.0,1029000000.0,1556000000.0,10.0,10259000000.0,13.81841179058513,0.2830685251973877,High Debt
HIG,2013,258979000000.0,18905000000.0,6544000000.0,176000000.0,1471000000.0,1.0,20673000000.0,13.69896852684475,0.31654815459778457,High Debt
MET,2013,823743000000.0,61553000000.0,49239000000.0,3368000000.0,4052000000.0,5.0,68199000000.0,13.382662096079802,0.7219900585052567,High Debt
SEE,2015,6877900000.0,527100000.0,4266800000.0,225400000.0,763400000.0,3.0,7031500000.0,13.048567634225005,0.6068122022328095,High Debt
SCHW,2012,124048000000.0,9589000000.0,1632000000.0,928000000.0,1450000000.0,19.0,4883000000.0,12.93648972781312,0.3342207659225886,High Debt
SPGI,2014,6285000000.0,488000000.0,795000000.0,-115000000.0,113000000.0,2.0,5051000000.0,12.879098360655737,0.1573945753316175,High Debt
SCHW,2013,133261000000.0,10381000000.0,1903000000.0,1071000000.0,1705000000.0,20.0,5435000000.0,12.837009921972834,0.3501379944802208,High Debt
SCHW,2015,170316000000.0,13402000000.0,2890000000.0,1447000000.0,2279000000.0,23.0,6380000000.0,12.708252499626921,0.45297805642633227,High Debt
ABBV,2015,49105000000.0,3945000000.0,29240000000.0,5144000000.0,7537000000.0,23.0,22859000000.0,12.447401774397973,1.2791460693818628,High Debt
NTRS,2015,108043700000.0,8705900000.0,0.0,973800000.0,0.0,20.0,4856500000.0,12.4103998437841,0.0,High Debt
HIG,2012,276066000000.0,22447000000.0,7287000000.0,-38000000.0,-89000000.0,0.0,22086000000.0,12.298569964805987,0.32993751697908175,High Debt
SCHW,2014,142839000000.0,11803000000.0,1899000000.0,1321000000.0,2115000000.0,22.0,6058000000.0,12.101923239854274,0.3134697920105645,High Debt
HIG,2014,226293000000.0,18720000000.0,6109000000.0,798000000.0,1699000000.0,4.0,18614000000.0,12.088301282051281,0.32819383259911894,High Debt
MCO,2013,4058100000.0,337000000.0,2101800000.0,804500000.0,1234600000.0,27.0,2972500000.0,12.041839762611277,0.7070815811606392,High Debt
NTRS,2014,101497600000.0,8448900000.0,0.0,811800000.0,0.0,18.0,4512600000.0,12.013114133200771,0.0,High Debt
NTRS,2013,95035300000.0,7912000000.0,0.0,731300000.0,0.0,17.0,4311700000.0,12.011539433771487,0.0,High Debt
MET,2012,772328000000.0,64453000000.0,52849000000.0,1324000000.0,1442000000.0,2.0,68150000000.0,11.982809178781437,0.7754805575935436,High Debt
NTRS,2012,89936800000.0,7527000000.0,0.0,687300000.0,0.0,16.0,4193500000.0,11.948558522651787,0.0,High Debt
HIG,2015,210706000000.0,17642000000.0,5359000000.0,1682000000.0,1978000000.0,9.0,18377000000.0,11.943430450062351,0.29161451814768463,High Debt
MET,2015,809984000000.0,67949000000.0,54994000000.0,5310000000.0,7470000000.0,8.0,69951000000.0,11.920469764087771,0.7861788966562308,High Debt
STT,2014,252791000000.0,21328000000.0,0.0,2022000000.0,0.0,19.0,10666000000.0,11.852541260315078,0.0,High Debt
MET,2014,830284000000.0,72053000000.0,51712000000.0,6309000000.0,8804000000.0,9.0,73316000000.0,11.523239837341956,0.7053303508101915,High Debt
